R,G,B,Class
59,64,99,r
60,64,99,r
60,64,100,r
61,65,101,r
61,65,101,r
62,66,102,r
63,66,103,r
63,67,103,r
64,67,104,r
65,68,105,r
66,68,105,r
67,69,106,r
68,69,106,r
69,70,106,r
58,63,95,r
58,63,95,r
58,62,95,r
57,62,95,r
57,62,96,r
57,62,96,r
57,62,97,r
58,63,97,r
58,63,97,r
58,63,98,r
59,63,98,r
59,64,99,r
60,64,99,r
60,64,100,r
60,65,101,r
61,65,101,r
62,66,102,r
62,66,102,r
63,67,103,r
64,67,104,r
65,68,104,r
66,68,105,r
67,69,105,r
67,69,106,r
68,70,106,r
58,63,95,r
58,62,95,r
58,62,95,r
57,62,96,r
57,62,96,r
57,62,96,r
57,62,97,r
58,63,97,r
58,63,97,r
58,63,98,r
59,63,98,r
59,64,99,r
60,64,99,r
60,64,100,r
60,65,101,r
61,65,101,r
62,66,102,r
62,66,102,r
63,67,103,r
64,67,104,r
65,68,104,r
66,68,105,r
67,69,105,r
67,69,106,r
68,69,106,r
96,70,69,b
92,67,66,b
91,67,66,b
90,67,66,b
89,67,67,b
89,68,68,b
89,67,68,b
88,67,68,b
88,67,69,b
89,68,69,b
89,68,69,b
90,68,69,b
90,68,69,b
91,68,68,b
92,68,68,b
93,68,68,b
94,68,69,b
95,68,69,b
95,68,68,b
95,68,69,b
94,68,67,b
92,66,66,b
91,66,66,b
89,66,66,b
89,66,66,b
88,67,67,b
88,67,68,b
88,67,68,b
88,67,68,b
89,68,69,b
89,68,69,b
90,68,69,b
90,68,68,b
91,68,68,b
92,67,68,b
93,68,68,b
94,68,68,b
94,68,68,b
95,68,68,b
95,68,68,b
93,66,66,b
92,66,65,b
90,66,65,b
89,66,66,b
89,66,66,b
88,67,67,b
88,67,67,b
88,67,68,b
88,67,68,b
89,67,68,b
89,68,69,b
90,68,69,b
90,68,68,b
91,67,68,b
92,67,68,b
93,67,68,b
94,67,68,b
94,67,68,b
94,67,68,b
95,68,68,b
93,65,65,b
91,65,65,b
91,65,65,b
90,66,66,b
89,66,66,b
89,66,66,b
88,67,67,b
88,67,67,b
88,67,68,b
89,67,68,b
89,68,68,b
90,68,68,b
90,67,68,b
91,67,68,b
92,67,68,b
93,67,68,b
93,67,68,b
94,67,68,b
94,67,68,b
95,67,68,b
93,65,65,b
91,65,65,b
91,65,65,b
90,65,65,b
89,66,66,b
89,66,66,b
88,66,67,b
88,66,67,b
89,67,67,b
89,67,68,b
89,67,68,b
90,67,68,b
90,67,67,b
91,67,68,b
92,66,67,b
93,66,67,b
93,67,68,b
94,67,68,b
94,67,68,b
95,67,68,b
92,64,64,b
91,64,64,b
91,65,65,b
90,65,65,b
90,65,66,b
89,66,66,b
89,66,66,b
89,66,66,b
89,66,67,b
89,67,67,b
89,67,67,b
90,66,67,b
90,66,67,b
91,66,67,b
92,66,67,b
93,66,67,b
94,66,67,b
94,66,67,b
94,67,67,b
95,67,67,b
92,64,64,b
91,64,64,b
91,65,64,b
90,65,65,b
90,65,65,b
89,65,65,b
89,65,66,b
89,66,66,b
89,66,66,b
89,66,67,b
89,66,67,b
90,66,67,b
91,66,67,b
91,66,67,b
92,65,67,b
93,66,67,b
94,66,67,b
94,66,67,b
94,66,67,b
95,66,67,b
92,64,63,b
91,64,64,b
91,64,64,b
90,65,65,b
90,65,65,b
89,65,65,b
89,65,65,b
89,65,66,b
89,66,66,b
89,66,66,b
90,66,66,b
90,66,66,b
91,65,66,b
92,65,66,b
92,65,66,b
93,65,66,b
93,65,66,b
94,65,66,b
94,65,67,b
94,66,67,b
92,64,63,b
91,64,64,b
91,64,64,b
90,64,64,b
89,64,64,b
89,64,65,b
89,65,65,b
89,65,65,b
89,65,66,b
89,66,66,b
90,66,66,b
91,65,66,b
91,65,66,b
92,65,66,b
92,65,66,b
93,65,66,b
93,65,66,b
94,65,66,b
94,65,66,b
94,65,67,b
92,64,63,b
92,64,64,b
91,64,64,b
90,64,64,b
89,64,64,b
89,64,64,b
89,65,65,b
89,65,65,b
89,65,65,b
89,65,66,b
90,65,66,b
91,65,66,b
91,65,66,b
92,65,66,b
93,64,66,b
93,64,66,b
94,65,66,b
94,65,66,b
94,65,66,b
94,65,67,b
92,64,63,b
92,64,63,b
91,64,64,b
90,64,64,b
90,64,64,b
89,64,64,b
89,65,65,b
89,65,65,b
89,65,65,b
89,65,66,b
90,65,66,b
91,65,66,b
91,65,66,b
92,64,66,b
93,64,65,b
93,64,65,b
94,65,66,b
94,65,66,b
94,64,66,b
94,65,67,b
224,218,146,z
226,219,146,z
227,221,147,z
228,222,147,z
230,224,148,z
231,225,149,z
231,225,149,z
231,225,149,z
230,224,149,z
230,224,149,z
230,224,150,z
230,223,151,z
230,223,151,z
230,223,152,z
230,223,152,z
230,224,153,z
231,224,154,z
232,226,155,z
234,227,157,z
235,229,158,z
236,231,160,z
239,234,163,z
241,237,166,z
243,240,170,z
247,246,178,z
248,248,182,z
247,247,182,z
246,246,184,z
246,245,187,z
233,230,187,z
205,198,181,z
199,190,182,z
199,190,183,z
199,190,184,z
199,190,184,z
199,190,185,z
199,190,186,z
199,190,187,z
200,190,188,z
200,191,190,z
201,192,192,z
204,195,195,z
213,206,207,z
238,236,238,z
250,250,251,z
252,253,253,z
252,253,253,z
252,253,253,z
253,254,253,z
253,254,253,z
253,254,253,z
253,254,252,z
253,254,252,z
252,254,252,z
252,254,252,z
251,254,252,z
250,254,251,z
250,253,251,z
249,253,252,z
247,253,252,z
243,252,252,z
210,229,248,z
159,180,220,z
113,130,196,z
99,117,192,z
95,114,188,z
96,116,191,z
98,119,196,z
97,120,198,z
97,121,200,z
96,119,198,z
95,118,199,z
95,119,201,z
96,121,203,z
96,123,205,z
95,122,204,z
94,120,201,z
93,119,199,z
91,115,193,z
87,109,185,z
85,107,181,z
84,104,177,z
83,102,173,z
83,102,170,z
83,101,169,z
83,101,168,z
83,101,167,z
84,102,166,z
86,103,165,z
90,106,165,z
224,218,145,z
226,219,146,z
227,220,146,z
228,222,147,z
230,224,148,z
231,225,149,z
232,226,149,z
231,225,149,z
230,224,149,z
230,224,149,z
230,223,150,z
230,223,150,z
230,223,151,z
230,223,152,z
230,223,152,z
230,223,153,z
231,224,154,z
232,226,155,z
233,227,157,z
234,228,158,z
236,231,160,z
239,234,162,z
240,236,164,z
243,241,171,z
247,246,178,z
248,247,182,z
248,247,183,z
248,247,186,z
247,247,188,z
237,234,188,z
204,196,181,z
199,191,182,z
199,190,183,z
200,191,184,z
200,191,185,z
199,190,185,z
200,191,186,z
200,191,187,z
200,191,189,z
201,192,191,z
202,193,193,z
207,199,199,z
227,223,225,z
249,249,249,z
251,252,252,z
252,253,253,z
252,253,253,z
252,253,253,z
253,254,253,z
253,254,253,z
253,254,253,z
253,254,252,z
253,254,252,z
252,254,252,z
252,254,252,z
251,254,252,z
251,254,251,z
250,254,251,z
249,253,252,z
247,253,252,z
242,251,252,z
214,232,249,z
156,177,218,z
108,126,194,z
97,116,189,z
95,114,187,z
96,116,192,z
97,119,197,z
98,121,200,z
98,122,203,z
97,120,200,z
96,119,200,z
96,120,201,z
96,122,204,z
96,123,206,z
96,123,205,z
95,121,203,z
93,119,200,z
89,113,190,z
87,109,186,z
85,106,180,z
83,104,176,z
83,102,173,z
83,102,171,z
83,102,169,z
83,101,168,z
83,101,167,z
84,102,166,z
86,103,165,z
90,106,165,z
223,217,145,z
225,219,146,z
226,220,146,z
228,222,147,z
230,223,148,z
231,225,148,z
231,225,149,z
230,224,149,z
230,223,149,z
229,223,149,z
230,223,150,z
230,223,150,z
230,223,151,z
230,223,151,z
230,223,152,z
231,224,153,z
232,225,154,z
233,226,155,z
233,227,156,z
235,228,158,z
237,231,160,z
239,235,163,z
241,238,166,z
245,243,173,z
247,246,179,z
247,246,181,z
247,247,183,z
248,247,186,z
247,246,187,z
234,231,187,z
205,197,182,z
202,193,182,z
200,191,183,z
200,191,183,z
200,191,184,z
200,191,185,z
200,191,186,z
200,191,188,z
201,192,190,z
202,193,192,z
205,196,196,z
216,209,210,z
244,243,244,z
251,252,252,z
252,253,253,z
252,253,253,z
252,253,253,z
253,253,253,z
253,254,253,z
253,254,253,z
253,254,253,z
253,254,252,z
253,254,252,z
253,254,252,z
252,254,252,z
251,254,252,z
251,254,252,z
250,254,252,z
249,253,252,z
247,253,252,z
244,252,252,z
217,235,250,z
161,182,222,z
111,130,197,z
96,114,187,z
95,114,187,z
96,117,193,z
97,119,197,z
98,122,202,z
98,123,203,z
97,122,203,z
97,122,203,z
97,123,205,z
98,125,208,z
98,126,209,z
96,124,207,z
95,122,203,z
92,118,198,z
90,113,191,z
88,110,186,z
85,106,180,z
83,104,176,z
83,103,173,z
83,102,171,z
83,102,170,z
83,102,169,z
83,101,168,z
84,101,166,z
84,102,165,z
90,106,165,z
224,217,145,z
225,218,145,z
226,220,146,z
228,222,147,z
229,223,147,z
230,224,148,z
230,224,148,z
230,223,148,z
229,223,148,z
229,223,149,z
229,223,149,z
229,223,150,z
229,223,151,z
230,223,151,z
230,223,152,z
231,224,153,z
232,225,154,z
233,227,156,z
234,228,157,z
235,229,158,z
237,232,160,z
240,236,164,z
243,239,169,z
246,243,175,z
247,245,178,z
247,245,180,z
247,246,183,z
248,247,186,z
247,246,186,z
237,234,187,z
208,201,182,z
202,194,182,z
201,192,183,z
201,192,184,z
200,192,185,z
200,191,185,z
201,192,187,z
201,192,188,z
202,193,190,z
204,195,193,z
208,200,199,z
228,224,225,z
250,250,250,z
252,252,253,z
252,253,253,z
252,253,253,z
252,253,253,z
253,253,253,z
253,253,253,z
253,254,253,z
253,254,253,z
253,254,253,z
253,254,252,z
253,254,252,z
252,254,252,z
251,254,252,z
251,254,252,z
250,254,252,z
249,253,252,z
247,253,252,z
245,252,252,z
224,239,251,z
163,183,223,z
115,135,201,z
98,116,190,z
96,115,189,z
97,117,194,z
98,120,198,z
99,122,202,z
99,124,205,z
99,125,206,z
98,125,208,z
99,127,210,z
100,131,214,z
100,131,215,z
98,127,210,z
96,123,205,z
93,118,198,z
91,115,194,z
88,111,188,z
85,106,180,z
84,104,175,z
83,103,173,z
83,102,171,z
83,102,170,z
83,102,169,z
83,101,168,z
83,101,167,z
84,101,166,z
90,106,166,z
224,217,144,z
225,218,145,z
226,220,145,z
227,221,145,z
228,222,146,z
229,223,147,z
229,223,147,z
229,223,148,z
229,223,148,z
229,223,149,z
229,223,149,z
229,223,150,z
230,223,151,z
230,223,152,z
230,223,152,z
231,224,153,z
233,226,155,z
234,227,157,z
236,229,158,z
237,230,159,z
238,232,161,z
241,236,164,z
243,239,169,z
245,242,174,z
246,244,178,z
247,245,180,z
247,246,183,z
248,247,185,z
247,246,186,z
238,235,187,z
209,202,182,z
203,195,182,z
201,193,183,z
202,193,184,z
203,194,186,z
202,194,187,z
202,193,187,z
202,193,188,z
203,194,190,z
205,196,194,z
212,204,203,z
238,235,236,z
251,251,251,z
252,252,253,z
252,253,253,z
252,253,253,z
253,253,253,z
253,253,253,z
253,253,253,z
253,254,253,z
254,254,253,z
254,254,253,z
253,254,252,z
253,254,252,z
252,254,252,z
251,254,252,z
251,254,252,z
250,254,252,z
249,253,252,z
247,253,252,z
246,253,252,z
235,247,253,z
175,195,233,z
121,142,206,z
100,119,192,z
98,117,191,z
99,120,196,z
99,122,201,z
101,127,207,z
103,131,212,z
102,131,214,z
102,132,215,z
102,133,217,z
103,136,220,z
103,136,220,z
100,132,216,z
96,125,207,z
94,120,201,z
92,116,196,z
89,112,189,z
85,106,180,z
83,103,174,z
83,102,172,z
84,102,171,z
84,102,171,z
84,102,170,z
83,101,168,z
83,101,167,z
84,101,166,z
91,107,167,z
223,217,144,z
224,218,144,z
225,219,145,z
226,220,145,z
227,221,145,z
228,222,146,z
228,222,147,z
229,223,147,z
229,223,148,z
229,222,148,z
229,222,149,z
229,223,150,z
230,223,151,z
230,223,152,z
231,224,153,z
232,225,154,z
233,226,155,z
235,228,157,z
236,229,158,z
237,230,160,z
238,231,160,z
240,234,163,z
243,238,167,z
245,241,172,z
246,244,177,z
247,245,181,z
248,246,183,z
248,247,186,z
248,246,186,z
236,232,185,z
211,204,182,z
204,196,182,z
203,194,183,z
204,195,185,z
205,196,187,z
205,196,188,z
204,195,188,z
203,194,189,z
204,195,191,z
207,198,195,z
216,208,207,z
243,241,241,z
252,252,252,z
252,252,253,z
252,252,253,z
252,253,253,z
253,253,253,z
253,253,253,z
253,253,253,z
254,254,254,z
254,254,253,z
254,254,253,z
253,254,253,z
253,254,252,z
252,254,252,z
251,254,252,z
251,253,252,z
250,253,252,z
249,253,252,z
248,253,252,z
247,253,252,z
241,250,253,z
186,206,241,z
125,147,210,z
103,123,196,z
101,122,197,z
101,123,200,z
101,125,204,z
104,132,212,z
109,142,223,z
110,145,227,z
109,145,228,z
107,143,227,z
107,143,227,z
106,142,226,z
102,136,220,z
98,128,211,z
95,123,205,z
93,119,199,z
89,112,189,z
86,106,180,z
84,103,175,z
83,102,172,z
83,101,170,z
84,102,170,z
84,102,170,z
84,101,169,z
84,101,168,z
87,103,167,z
98,113,171,z
223,217,143,z
224,218,144,z
225,219,144,z
226,220,144,z
226,220,145,z
227,221,145,z
227,221,146,z
228,222,147,z
228,222,147,z
228,222,148,z
228,222,149,z
229,222,150,z
230,223,151,z
230,223,152,z
231,224,154,z
232,225,155,z
234,226,156,z
235,228,157,z
236,229,158,z
238,231,160,z
239,232,162,z
241,234,164,z
242,236,166,z
244,240,171,z
246,242,176,z
247,244,180,z
247,245,182,z
247,246,184,z
246,244,185,z
235,231,185,z
212,206,183,z
205,197,182,z
205,196,184,z
206,198,187,z
207,199,189,z
206,198,190,z
206,197,190,z
205,196,191,z
206,197,193,z
209,200,197,z
223,217,216,z
248,247,247,z
252,252,252,z
252,252,253,z
252,253,253,z
253,253,253,z
253,253,253,z
253,253,253,z
253,254,254,z
254,254,254,z
254,254,253,z
254,254,253,z
254,254,253,z
253,254,253,z
252,254,253,z
252,253,252,z
251,253,252,z
251,253,252,z
250,253,252,z
249,253,252,z
248,253,252,z
244,251,253,z
191,210,244,z
131,155,217,z
107,128,200,z
105,125,201,z
106,129,206,z
105,131,209,z
109,139,219,z
115,150,230,z
118,158,239,z
117,157,239,z
117,158,240,z
116,157,240,z
113,154,237,z
108,146,231,z
102,136,220,z
97,128,210,z
94,121,202,z
89,113,191,z
86,107,181,z
84,104,176,z
83,102,172,z
83,101,171,z
84,102,171,z
84,102,170,z
84,102,169,z
85,102,169,z
90,105,169,z
110,123,179,z
222,216,142,z
224,217,143,z
225,218,143,z
225,219,144,z
226,220,144,z
227,221,145,z
227,221,145,z
227,221,146,z
228,222,147,z
228,222,147,z
228,222,148,z
229,222,149,z
229,223,151,z
230,223,153,z
232,224,154,z
233,226,156,z
234,227,157,z
235,228,158,z
236,229,159,z
238,231,161,z
240,233,162,z
241,235,165,z
243,237,167,z
244,239,170,z
245,240,173,z
245,242,176,z
245,242,179,z
246,243,182,z
245,241,184,z
231,226,184,z
211,204,183,z
207,199,183,z
207,199,185,z
208,200,188,z
209,200,190,z
208,199,191,z
207,198,191,z
206,197,192,z
208,199,195,z
213,204,202,z
232,227,227,z
251,250,250,z
252,252,253,z
252,252,253,z
252,253,253,z
253,253,253,z
253,253,253,z
253,253,254,z
254,254,254,z
254,254,254,z
254,254,253,z
254,254,253,z
254,254,253,z
253,254,253,z
253,254,253,z
252,253,252,z
252,253,252,z
251,253,252,z
250,253,252,z
250,253,252,z
248,253,252,z
245,251,253,z
199,216,246,z
133,157,220,z
108,128,201,z
110,133,208,z
111,136,213,z
111,139,217,z
114,147,226,z
120,159,238,z
126,169,247,z
127,171,249,z
125,169,248,z
124,169,249,z
123,168,248,z
117,161,243,z
107,146,231,z
100,132,216,z
94,122,204,z
89,114,193,z
86,107,183,z
85,104,177,z
84,103,174,z
84,102,172,z
84,102,172,z
84,102,171,z
85,102,170,z
86,103,170,z
97,112,174,z
127,138,190,z
222,216,142,z
224,217,142,z
225,218,143,z
225,219,143,z
226,220,144,z
226,220,144,z
227,221,145,z
227,221,146,z
227,221,147,z
228,221,147,z
228,222,148,z
228,222,149,z
229,222,150,z
230,223,152,z
232,224,154,z
233,226,156,z
235,227,158,z
236,229,159,z
237,230,160,z
239,231,161,z
240,233,163,z
242,235,165,z
243,237,168,z
244,238,170,z
244,239,171,z
244,240,173,z
244,240,176,z
244,240,180,z
240,236,183,z
222,216,182,z
210,203,183,z
207,200,184,z
208,200,186,z
208,200,188,z
208,200,190,z
208,199,190,z
207,198,191,z
207,198,193,z
209,199,196,z
214,205,204,z
237,232,233,z
251,249,250,z
252,252,253,z
253,252,253,z
253,253,253,z
253,253,254,z
253,253,254,z
253,253,254,z
254,254,254,z
254,254,254,z
254,254,254,z
254,254,253,z
254,254,253,z
253,254,253,z
253,253,253,z
252,253,252,z
252,253,252,z
251,253,252,z
251,253,252,z
249,252,252,z
248,252,252,z
246,251,253,z
203,218,247,z
134,158,223,z
114,135,208,z
116,141,215,z
119,148,223,z
121,155,232,z
123,162,239,z
127,169,247,z
129,173,250,z
129,173,251,z
127,172,250,z
126,172,250,z
127,173,251,z
122,168,248,z
110,152,236,z
100,133,217,z
93,120,203,z
89,113,193,z
87,108,185,z
86,106,180,z
85,104,177,z
84,102,173,z
84,102,172,z
84,102,171,z
86,103,171,z
88,105,171,z
98,113,176,z
134,145,197,z
223,217,142,z
224,218,142,z
225,219,143,z
225,219,143,z
226,220,144,z
226,220,144,z
226,220,145,z
227,221,146,z
227,221,146,z
228,221,147,z
228,222,148,z
228,222,149,z
229,222,151,z
230,223,152,z
232,224,155,z
234,226,157,z
236,228,159,z
237,229,160,z
238,230,161,z
239,232,162,z
241,234,164,z
242,235,166,z
243,237,168,z
243,238,169,z
244,239,171,z
244,239,173,z
244,239,174,z
241,236,177,z
232,227,180,z
215,209,181,z
209,202,183,z
208,200,184,z
207,199,185,z
208,199,187,z
207,199,188,z
207,198,189,z
207,198,191,z
207,198,193,z
209,200,196,z
214,205,203,z
238,233,234,z
251,249,250,z
252,252,253,z
253,252,253,z
253,252,253,z
253,253,254,z
253,253,254,z
253,253,254,z
253,254,254,z
254,254,254,z
254,254,254,z
254,254,253,z
254,254,253,z
254,253,253,z
253,253,253,z
252,253,252,z
252,253,252,z
251,253,252,z
251,253,252,z
249,252,252,z
248,252,252,z
244,250,253,z
191,208,243,z
129,153,219,z
118,140,213,z
123,151,224,z
130,167,241,z
131,172,246,z
130,173,249,z
130,174,250,z
131,175,252,z
131,175,252,z
129,174,251,z
128,173,251,z
127,173,251,z
122,167,248,z
108,148,232,z
96,127,211,z
90,116,198,z
88,111,190,z
87,109,186,z
87,107,183,z
86,105,179,z
84,102,174,z
84,102,172,z
85,102,172,z
86,103,172,z
90,107,173,z
111,125,185,z
144,154,205,z
223,217,142,z
224,218,142,z
225,219,143,z
225,219,143,z
226,220,144,z
226,220,144,z
226,220,145,z
227,221,145,z
227,221,146,z
227,221,147,z
228,222,148,z
228,222,149,z
229,222,151,z
230,223,153,z
232,225,155,z
235,227,158,z
237,229,160,z
237,229,160,z
238,231,161,z
239,232,162,z
241,234,164,z
242,236,166,z
243,236,167,z
243,237,169,z
244,238,170,z
244,238,172,z
242,237,173,z
239,233,175,z
228,222,177,z
215,208,180,z
209,201,182,z
207,199,183,z
207,199,185,z
207,199,186,z
207,198,187,z
207,198,189,z
207,198,191,z
207,198,193,z
208,199,195,z
212,203,201,z
231,226,226,z
250,249,249,z
252,252,252,z
253,252,253,z
252,252,253,z
253,253,253,z
253,253,254,z
253,253,254,z
253,254,254,z
254,254,254,z
254,254,254,z
254,254,253,z
254,254,253,z
254,253,253,z
253,253,253,z
253,253,252,z
